LocaleIdentifier,IT
MsgITLFetchingMeterReadingsFailed,Ripresa falita
MsgHintPosSettings,Impostazioni POS
MsgHintPosSettingsMsg,"Da qui, puoi permettere ai dipendenti a impostare cassetti, disabilitare pagamenti off-line con carta di credito, abilitare modalità test, ecc."
MsgHintLock,Blocca al terminale POS
MsgHintLockMsg,Usa questa sezione a limitare certi dipedenti ai POS individuali. (I dipedenti con permessi gestore e manager saranno ancora permessi a usare qualsiasi POS)
MsgHintFinancials,Dati finanziari
MsgHintFinancialsMsg,"Qui troverai i report finanziari, brevi e pronti per la stampa. Per i report più dettagliati vai alla console di management back-end (scheda Report)."
MsgHintOfflinePayments,Pagamenti off-line
MsgHintOfflinePaymentsMsg,"Se la procedura di fine giornata (configurata nella console di gestione) non include già il controllo dei pagamenti off-line, questa schermata ti permette a controllare e processare i pagamenti off-line quali non sono stati processati automaticamente (questo succederà appena la connessione internet è ristabilita). Ci saranno ID delle transazioni, i nomi proprietari delle carte (se il cliente è registrato nel sistema), l'ultime 4 cifre delle carte, le date/ore delle transazioni, e totale dei pagamenti (mance incluse).\n\nPremi 'Forza' in alto dello schermo per processare i pagamenti elencati. Se i pagamenti sono respinti, saranno spostati nella schermata 'Pagamenti non accettati'. (Nota: se fai controllo dei pagamenti come parte della procedura di fine giornata e il POS è ancora nella modalità off-line, non sarà possibile finire la procedura prima la connessione internet sia ristabilita)"
MsgHintDeclinePayments,Pagamenti rifiutati
MsgHintDeclinePaymentsMsg,"Se la procedura di fine giornata (configurata nella console di gestione) non include già il controllo dei pagamenti non accettati, puoi gestirli da questa schermata. Ci saranno i dettagli di ogni pagamento non accettato, insieme il motivo (per esempio, numero della carta non valido).\n\nPremi sul pulsante 'Riprova' per riprovare a processare il pagamento.\n\nSe il pagamento è respinto di nuovo, e non c'è altra opzione a reclamarlo nel o fuori Revel, si deve trascinare a destra per cancellare dalla tabella. Se selezioni 'Cancella', un avviso sara visualizato come conferma che stai per cacellare l'ordine."
MsgHintSyncLog,Log di sincronizzazione
MsgHintSyncLogMsg,Questa sezione assisterà il supporto di Revel a risolvere il problema della sincronizzazione iPad.
MsgHintTroubleShoot,Modalità risoluzione problemi
MsgHintTroubleShootMsg,"In caso che hai bisogno a contattare il supporto, puoi essere richiesto a usare la modalità 'troubleshoot'—abilitata qui—per mandarci le informazioni utili della tua configurazione."
MsgHintBatchProcess,Elaborazione batch
MsgHintBatchProcessMsg,"Dalla schermata d'elaborazione batch è possibile aggiustare e catturare tutte le mance o una a volta.\n\nPer fare una a volta, inserisci l'importo della mancia nel proprio campo dell'ordine, e premi il pulsante blu 'Cattura'. che si trova a destra.\n\nAltra opzione è da compilare tutti i campi mance degli ordini, dopodiché premi su 'Cattura' in alto destra della schermata a catturare tutte le transazioni momentaneamente."
MsgHintEodProcess,Procedura di fine giornata
MsgHintEodProcessMsg,"L'elaborazione di fine giornata può essere creata per sistemare l'attivita di giorno corrente e ripristinare il sistema per il giorno prossimo. Questa funzione fa che le procedure importanti aziendali sono completate coerente e tempestivamente.\n\nUn amministratore può configurare (tramite console di gestione Impostazioni >  Impostazioni POS avanzate) un avviso al ora desiderata per ricordare i dipendenti a inviare la procedura di fine giornata.\n\nIl POS ti guiderà attraverso il processo di fine giornata. In seguito, un report di fine giornata può essere genrato sul POS e un log di attivitò è anche disponibile sulla console di gestione."
MsgHintManageItem,Gestisci informazioni articolo
MsgHintManageItemMsg,"Puoi usare la modalità 'Gestione articolo' per fare cambi veloci alla lista menu/prodotti dal iPad. Puoi anche aggiungere nuove(i) cattegorie, sottocattegorie e prodotti, oppure premi su quelle esistenti per fare le modifiche."
MsgHintTable,Schermo tavolo
MsgHintTableMsg,"Premi velocemente sul tavolo per creare un ordine o aprire uno esistente. I tavoli sono di colore griggio quando liberi e colorati (blu, verde o rosso) dipendere dalllo stato d'ordine. Premi a lungo per accedere all'opzioni addizionali (Sposta ordine, Trasferisci adetto dell'ordine, Mostra dettagli timer). Trascina a destra o sinistra per cambiare tra le sezioni del ristorante (create nella console di gestione).\n\nPuoi usare l'icona dettagli sotto 'Nuovo ordine' per visualizzare 'Lista tavoli'.\n\nPer la ricerca dei posti al bar, premi su 'Posti al bar' su alto dello schermo.\n\nSe abilitato per tuo punto vendita, anche le schede 'Lista d'attesa' e 'Reservazioni' sono disponibili."
MsgHintBar,Schermo dei posti al bar
MsgHintBarMsg,"Premi velocemente sul quadrato griggio per attivare un nuovo posto al bar, o quadrato blu per aprire un posto esistente. Premi a lungo per accedere all'opzioni addizionali (Sposta ordine, Trasferisci adetto dell'ordine, Mostra dettagli timer). Usa l'icona lente d'ingrandimento sulla sinistra di 'Nuovo posto' a cercare il posto per nome cliente, ID ordine o numero posto."
MsgHintOrderMenuTable,Schermo ordine: Modalità menu
MsgHintOrderMenuTableMsg,"Usa la parte destra dello schermo ad aggiungere articoli all'ordini. Premi su 'Categoria' e 'Sottocategoria' per andare al articolo desiderato dentro la sezione 'Prodotti', dopodiché premi su articolo per aggiungerlo all'ordine — ci sarà visualizzato il nome dell'articolo, la quantità, il prezzo e il totale aggiornato sulla parte sinistra dello schermo. Per trovare articoli nelle liste affollate di menu/prodotti, premi 'Cerca' nel alto destra.\n\nPremi il pulsante 'Spedisci ordine' per spedire l'ordine a stampante/schermo cucina (se disponibile). È possibile annullare un ordine (prima di spedirlo alla cucina) premendo su 'Annulla ordine'. Per uscire dall'ordine e ritornare più tardi, premi 'Tieni ordine' — e dopo usa il pulsante 'Ordini' in alto dello schermo ad accedere all'ordine.\n\nPer aprire il pannello con le opzioni delle modifiche prodotto, premi su qualsiasi articolo dell'ordine di colore bianco o blu (articoli già spediti a cucina, di colore grigio, sono più limitati delle opzioni disponibili).\n\nAlla fine, ci sarà un set dei pulsanti rotondi blu in basso sinistra dello schermo; quali pulsanti saranno visualizzati lì dipenderà dalla configurazione POS, e le configurazioni più comune includono opzioni ad applicare sconti, aggiungere costi di servizio, spostare ordini tra tavoli, o trasferire ordini a nuovo dipendente."
MsgHintOrderMenuRetail,Schermo ordine: Modalità menu
MsgHintOrderMenuRetailMsg,"Usa la parte destra dello schermo ad aggiungere articoli all'ordini. Premi su 'Categoria' e 'Sottocategoria' per andare al articolo desiderato dentro la sezione 'Prodotti', dopodiché premi su articolo per aggiungerlo all'ordine — ci sarà visualizzato il nome dell'articolo, la quantità, il prezzo e il totale aggiornato sulla parte sinistra dello schermo. Per trovare articoli nelle liste affollate di menu/prodotti, premi 'Cerca' nel alto destra. È possibile anche aggiungere artocoli all'ordine scanerizzando loro codice a barre.\n\nÈ possibile annullare un ordine (prima di spedirlo alla cucina) premendo su 'Annulla ordine'. Per uscire dall'ordine e ritornare più tardi, premi 'Tieni ordine' — e dopo usa il pulsante 'Ordini' in alto dello schermo ad accedere all'ordine.\n\nPer aprire il pannello con le opzioni delle modifiche prodotto, premi su qualsiasi articolo dell'ordine di colore bianco o blu (articoli già spediti a cucina, di colore grigio, sono più limitati delle opzioni disponibili).\n\nAlla fine, ci sarà un set dei pulsanti rotondi blu in basso sinistra dello schermo; quali pulsanti saranno visualizzati lì dipenderà dalla configurazione POS, e le configurazioni più comune includono opzioni ad applicare sconti, aggiungere costi di servizio, o aprire casetto."
MsgHintOrderPaymentsTable,Schermo ordine: Modalità pagamenti
MsgHintOrderPaymentsTableMsg,"Dopo hai premuto il pulsante blu 'Paga' sulla sinistra della schermata d'ordine, entrerai 'Modalità pagamenti' e un nuovo pannello sarà visualizzato sopra la lista menu/prodotti.\n\nL'importo dovuto si troverà in alto sinistra e di colore blu. Questo importo sarà raccolto usando il metodo di pagamento designato. L'importo può essere inserito su pin-pad prima di selezionare il tipo di pagamento. Se pagamento è in contanti, il resto eventuale sarà visualizzato, di colore rosso, nel proprio campo.\n\nPremi 'Importo mancia' per aggiungere un importo della mancia al pagamento completato. Premi 'OK' per aggiungere questo importo o 'Annulla' per uscire senza aggiungerlo.\n\nPremi 'E-mail' per inserire un indirizzo e-mail su quale la ricevuta sarà mandata. 'Ristampa' stamperà un altra ricevuta.\n\nPremi 'Rimborsa pagamento' per rimborsare alcune o tutte transazioni senza cancellare l'ordine o gli articoli selezionati.\n\nDopodiché l'ordine è sistemata premi su 'Fatto' per chiuderla."
MsgHintOrderPaymentsRetail,Schermo ordine: Modalità pagamenti
MsgHintOrderPaymentsRetailMsg,"Dopo hai premuto il pulsante blu 'Paga' sulla sinistra della schermata d'ordine, entrerai 'Modalità pagamenti' e un nuovo pannello sarà visualizzato sopra la lista dei prodotti.\n\nL'importo dovuto si troverà in alto sinistra e di colore blu. Questo importo sarà raccolto usando il metodo di pagamento designato. L'importo può essere inserito su pin-pad prima di selezionare il tipo di pagamento. Se pagamento è in contanti, il resto eventuale sarà visualizzato, di colore rosso, nel proprio campo.\n\nPremi 'E-mail' per inserire un indirizzo e-mail su quale la ricevuta sarà mandata. 'Ristampa' stamperà un altra ricevuta.\n\nPremi 'Rimborsa pagamento' per rimborsare alcune o tutte transazioni senza cancellare l'ordine o gli articoli selezionati.\n\nDopodiché l'ordine è sistemata premi su 'Fatto' per chiuderla."
MsgCustomPrinterErrorHasBeenHappened,Errore della stampante. Contatta il servizio tecnico.
MsgCustomPrinterErrorCode,Codice errore
MsgCustomPrinterNearPaperEnd,"La carta sta per esaurire, ricaricarla prima possibile."
MsgCustomPrinterPaperEnd,Errore carta esaurita. Ricaricarla prima possibile.
MsgCustomPrinterEjFull,"Il registro eletronico è pieno, restituiscilo o contatta il servizio tecnico."
MsgCustomPrinterEjNearlyFull,"Il registro eletronico è quai pieno, restituiscilo prima possibile o contatta il servizio tecnico."
MsgCustomPrinterPleaseCheckTheCoverIsClose,Controlla se il coperchio è chiuso.
MsgCustomPrinterCustomerDisplayIsDisconnected,Lo schermo cliente è disconnesso.
MsgItemNotReturnable,Questo articolo non può essere reso.
MsgHouseAccountPaymentHistory,Pagamenti
MsgHouseAccountFetchingData,Conti privati
MsgHouseAccountFailedToFetch,Non è possibile recuperare riepilogo. Controlla connessione di rete e riprova più tardi.
MsgHouseAccountPaymentType,Tipo di pagamento
MsgHouseAccountDisplayHouseAccountPayments,Visualizza solo conti privati
MsgHouseAccountUnpaidHouseAccountOrders,Conti privati
MsgHouseAccountErrorAccountNotEnabledForEstablishment,Il dispositivo attuale non esiste nel punto vendita %d
MsgHouseAccountErrorAccountNotEnabledForCustomer,Importo ENT è stato reso alla carta
MsgHouseAccountErrorFailedToSyncPayment,Impossibile aggiornare il riepilogo di pagamento.
MsgHouseAccountPayment,Conti privati
MsgHouseAccountPayments,Conti privati
MsgHouseAccountLocked,L’ordine è stato modificato da %@ sul POS %@.
MsgOnboardingEstablishmentNotSet,Nessun punto vendita o POS impostato! \n\nBisogna aggiornare.
MsgOnboardingFailedToSaveBackendSettings,Impossibile aggiornare le mance
MsgOnboardingFailedToSaveSupportTopics,Impossibile aggiornare le mance
BtnOnboardingCloseWizard,Chiudi ordine
MsgOnboardingBusinessType,Fuel Type
MsgOnboardingAdditionalSetUpAssistance,Ulteriori operazioni
BtnOnboardingRetail,Retail
BtnOnboardingQuickService,Servizio
BtnOnboardingTableService,Costo di servizio tassabile
MsgOnboardingPaymentMethods,Seleziona un metodo di pagamento
MsgOnboardingBusinessName,Indirizzo
MsgOnboardingAddress1,Indirizzo
MsgOnboardingAddress2,Indirizzo
MsgOnboardingProvince,Stato/Provincia
MsgOnboardingTaxName,Nome di chiamata
MsgOnboardingPointOfSale,Saldo punti
MsgOnboardingIsRequired,*Tutti i campi sono obbligatori.
MsgOnboardingPaymentType,PAGAMENTI
MsgOnboardingPrintReceipt,RICEVUTA CONTANTE IN ENTRATA
MsgOnboardingPaymentProcessors,Elaborazione pagamenti
MsgOnboardingSelectYourProcessor,Seleziona i prodotti
MsgOnboardingReturns,Resi
MsgOnboardingHowWouldYoLikeToHandleReturns,Come desideri effettuare il pagamento?
MsgOnboardingDebitCard,Carta di credito
MsgOnboardingCreditPlus,Credit +
MsgOnboardingAllowReturnsWithoutReceipt,Desideri stampare una ricevuta?
MsgOnboardingLimitReceiptlessReturnsTo,Reso senza ricevuta
MsgOnboardingReceiptlessReturnTender,Reso senza ricevuta
MsgOnboardingCashCredit,Registro di credito e contanti
MsgOnboardingWouldYouLikeSetUpProducts,Desideri creare un nuovo prodotto con il codice a barre senza corrispondenza?
MsgOnboardingEnableOfflineCreditCardPayments,Disabilita le carte di credito off-line
MsgOnboardingMaximumAmountForSingleOfflinePayment,Importo massimo per pagamento off-line
MsgOnboardingMaximumAmountForUnprocessedOfflinePayments,Totale massimo per tutti pagamenti off-line non elaborati
MsgOnboardingMaximumAmountForUnprocessedDeclinedPayments,Totale massimo per tutti pagamenti rifiutati e non elaborati
MsgOnboardingHowWouldYouLikeEmployeesLogInOut,Come vorresti ricevere la fattura?
MsgOnboardingCloseHeldReceiptsAt,Chiudi ordini sospesi
MsgOnboardingClockingIn,Clock-in
MsgOnboardingHowWouldYouLikeEmployeesToClockIn,Come vorresti ricevere la fattura?
MsgOnboardingEmployeesMustClockInToAccessiPad,Il dipendente non ha effettuato la registrazione in entrata (clock-in) o la registrazione in entrata non può essere confermata.
MsgOnboardingRequirePhotoToClockIn,Non è stata ancora registrata l’entrata
BtnOnboardingSetUpProducts,PRODOTTI
MsgOnboardingEmployeeList,Dipendenti
MsgOnboardingPINAlreadyExists,Carta già esistente.
MsgOnboardingPINValidationFailed,Aggiornamento Raspberry PI non riuscito
MsgOnboardingValidating,In attesa
MsgOnboardingSetupInterviewFailedToLoad,Modello fattura non valido.\nContatta l’assistenza clienti.
MsgCustomerCompany,Nome dell’azienda
MsgDocumentStorage,Commenti
MsgDocumentPreview,Numero del conto
MsgDocumentSearchPlaceholder,Inserisci posto al bar # o nome del cliente
MsgDocumentType,Commenti
MsgDocumentNumber,Commenti
MsgDocumentTaxID,Il cliente ha pagato
MsgDocumentTypeFiscalInvoiceCopy,Cancella fattura
MsgDocumentTypeFiscalInvoiceDuplicate,Cancella fattura
MsgDocumentSearchFailed,Ripresa falita
MsgDocumentCheckInternetConnection,Si è verificato un errore. Controlla la connessione internet!
MsgDocumentCopyPrinted,Stampa non riuscita
MsgInvoice,Fattura
MsgInvoiceVehicleRegistrationNumber,Registrazione non riuscita
MsgInvoiceInvoiceItem,Numero fattura
MsgInvoiceReceiptItem,Ristampa ordine
MsgInvoiceVRNPlaceholder,Registrazione non riuscita
MsgDocuments,Commenti
MsgNonFiscalInvoiceCopy,Cancella fattura
MsgNonFiscalInvoiceDuplicate,Cancella fattura
MsgCustomerKioskContinueAsGuestBtn,Continua turno
MsgCustomerKioskProfileAvailableRewards,Nessun premio disponibile
MsgCustomerKioskProfileGiftCardsTableTitle,Carta regalo
MsgCustomerKioskProfileGiftCardsTableBalance,Saldo
MsgFDAHotelName,Inserisci nome
MsgFDAReservationNumber,Prenotazioni
MsgFDAReferenceNumber,Gestisci cliente
MsgFDAStatus,Stato
MsgFDAStatusCheckedin,Registrato in entrata
MsgFDAStatusCheckedout,Registrazione di uscita
MsgFDAStatusWaiting,In attesa
MsgFiscalPeriods,Rapporto fiscale
MsgMultiStoreReturn,Attivando questa funzione verrà condiviso il tuo schermo POS. Sei sicuro di voler procedere?
MsgPhysicalInventoryJoin,Gestisci inventario
MsgPhysicalInventoryFetchingData,Recupero informazioni dell’inventario
MsgPhysicalInventoryFailedToFetch,Non è possibile recuperare riepilogo. Controlla connessione di rete e riprova più tardi.
MsgPhysicalInventoryNoActiveInventory,Inventario effettivo (%@)
MsgPhysicalInventoryCounting,Continua
MsgPhysicalInventoryRecount,Sconto
MsgPhysicalInventoryAction,Azioni
MsgPhysicalInventorySecondCount,Totale posti
MsgPhysicalInventoryInitialCount,Inizializzazione
MsgPhysicalInventoryScanning,Scansione
MsgPhysicalInventoryReadyForScan,Pronto a consegnare
MsgPhysicalInventoryNotCounted,Non collegato
MsgPhysicalInventoryCount,Paese
MsgPhysicalInventoryEditQuantity,Inserisci la quantità
MsgPhysicalInventoryTypeOrScanBarcode,Esegui la scansione del barcode
MsgPhysicalInventorySerialNumberNeeded,Numero di serie
MsgPhysicalInventoryUnsavedScansMessage,Sei sicuro di voler eliminare questo veicolo?
MsgPhysicalInventoryMultipleMatchesFound,Stessi detagli cliente trovati
MsgPhysicalInventoryMultipleUnitsFound,Stessi detagli cliente trovati
MsgPhysicalInventoryPleaseSelectAUnit,Selezionare gli articoli da cambiare
MsgPhysicalInventoryWaitingForScan,In attesa di
MsgPhysicalInventorySectionLocked,L’ordine è stato modificato da %@ sul POS %@.
MsgPhysicalInventoryRecountConfirm,Desideri stampare ricevuta?
MsgPhysicalInventoryTypeOrScanToBegin,Nessun barcode di prodotto corrispondente trovato.
MsgPhysicalInventoryScanned,Scanner
MsgPhysicalInventoryUnknownProducts,Nuovi prodotti
MsgPhysicalInventoryQuantityUpdated,Quantità di note
MsgPhysicalInventoryPleaseSelectUnit,Selezionare gli articoli da cambiare
MsgSettingDeviceID,Dispositivi
MsgSettingsRedirectTo,Reindirizzamento a
MsgSettingsFontSize,Imposta dimensioni del carattere
MsgSettingsFiscalPrintOptions,Opzioni di stampa etichetta
MsgSettingsPrintReports,Stampa riepilogo
MsgSettingsShowReports,Visualizza i dati
MsgSettingsSecondary,2° metà
MsgSettingsCardSwipe,Lettori di carte
MsgSettingsScale,Bilance
MsgSettingsCoinDispenser,Erogatori di monete
MsgSettingsRFIDReader,Lettori RFID
MsgSettingsDefaultMenu,Predefinito
MsgSetttingsRequireEmployeesToClockIn,Il dipendente non ha effettuato la registrazione in entrata (clock-in) o la registrazione in entrata non può essere confermata.
